Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
TEAD1	ENSG00000187079.14	19.125	3.820	2.062	1.44e-149
PLCD1	ENSG00000187091.13	29.376	13.220	1.095	2.08e-73
NAP1L1	ENSG00000187109.13	390.004	146.808	1.403	2.72e-115
SLIT1	ENSG00000187122.16	41.991	17.820	1.192	2.78e-26
VSTM2B	ENSG00000187135.7	12.095	27.441	-1.119	1.66e-41
RP11-195F19.5	ENSG00000187186.14	6.080	45.229	-2.707	4.73e-77
MT1X	ENSG00000187193.8	645.623	120.692	2.410	4.08e-78
SESTD1	ENSG00000187231.13	25.995	9.100	1.418	3.13e-93
RSBN1L	ENSG00000187257.14	9.675	3.720	1.177	1.51e-115
TAF9B	ENSG00000187325.4	30.260	12.000	1.266	9.75e-123
LUZP2	ENSG00000187398.11	39.835	2.850	3.407	2.99e-125
LHFPL3	ENSG00000187416.11	50.259	3.360	3.555	1.04e-112
FPR3	ENSG00000187474.4	1.370	0.050	1.174	2.56e-58
ZNF286A	ENSG00000187607.15	13.490	5.620	1.130	2.55e-109
ZKSCAN4	ENSG00000187626.8	3.910	1.450	1.003	9.08e-135
SAMD11	ENSG00000187634.10	6.190	0.670	2.106	8.92e-81
TMSB4XP8	ENSG00000187653.11	8.920	0.000	3.310	9.20e-10
HAPLN4	ENSG00000187664.8	1.750	36.750	-3.779	7.57e-118
GABRD	ENSG00000187730.7	11.690	79.809	-2.671	2.49e-64
TCEA1	ENSG00000187735.12	69.406	21.600	1.639	5.94e-190
FAM69C	ENSG00000187773.8	39.736	8.160	2.153	1.59e-99
ZSCAN23	ENSG00000187987.9	2.135	0.360	1.205	1.42e-75
TMEM221	ENSG00000188051.6	1.430	3.990	-1.038	1.19e-35
WNT7B	ENSG00000188064.9	7.265	2.820	1.113	1.04e-21
ZNF626	ENSG00000188171.14	6.470	2.520	1.086	1.02e-120
PRKAR1B	ENSG00000188191.14	51.426	278.976	-2.417	2.24e-74
ZNF669	ENSG00000188295.14	4.370	0.970	1.447	1.78e-144
ZNF559	ENSG00000188321.13	18.100	5.780	1.494	1.92e-139
GTF2F2	ENSG00000188342.11	29.455	8.010	1.757	5.62e-199
FOCAD	ENSG00000188352.12	7.840	17.490	-1.065	7.14e-40
ZP3	ENSG00000188372.14	7.235	1.530	1.703	6.94e-33
JAKMIP3	ENSG00000188385.11	1.785	6.460	-1.422	1.29e-88
SELL	ENSG00000188404.8	21.255	0.780	3.644	9.01e-97
NBR1	ENSG00000188554.13	74.707	26.740	1.448	2.95e-161
NPIPP1	ENSG00000188599.17	19.430	50.520	-1.334	4.28e-99
CLN3	ENSG00000188603.16	31.535	11.090	1.428	4.01e-185
SUMO2	ENSG00000188612.11	308.365	109.500	1.485	3.48e-161
LDOC1L	ENSG00000188636.3	33.719	12.920	1.319	3.48e-96
S100A16	ENSG00000188643.10	114.352	41.940	1.426	1.48e-64
ZDHHC9	ENSG00000188706.12	36.250	10.860	1.651	8.13e-107
SMIM15	ENSG00000188725.7	27.605	8.510	1.589	1.31e-141
NOXA1	ENSG00000188747.8	2.995	10.800	-1.563	4.83e-97
RPL14	ENSG00000188846.13	657.705	324.257	1.018	2.75e-99
FAM78B	ENSG00000188859.6	2.060	5.220	-1.023	1.59e-33
USP32P1	ENSG00000188933.14	9.575	26.880	-1.399	1.61e-35
MSANTD1	ENSG00000188981.10	0.410	1.890	-1.035	4.80e-106
RELN	ENSG00000189056.13	2.305	7.000	-1.275	6.21e-24
H1F0	ENSG00000189060.5	165.713	48.799	1.743	5.68e-140
LITAF	ENSG00000189067.12	41.849	12.430	1.674	1.07e-62
SF3B3	ENSG00000189091.12	127.128	49.652	1.339	6.34e-164
HN1	ENSG00000189159.15	132.545	38.350	1.763	7.16e-132
S100A13	ENSG00000189171.13	70.075	154.310	-1.128	1.74e-26
OR14I1	ENSG00000189181.4	0.030	1.380	-1.208	4.76e-82
PCDH18	ENSG00000189184.11	4.400	1.030	1.411	6.05e-95
LINC01164	ENSG00000189275.3	0.020	1.740	-1.426	3.32e-170
RPS2P46	ENSG00000189343.7	9.835	2.660	1.566	1.74e-136
GSPT2	ENSG00000189369.8	14.735	6.050	1.158	7.97e-126
HMGB1	ENSG00000189403.14	409.025	166.202	1.294	8.86e-147
SH2D5	ENSG00000189410.11	1.255	31.910	-3.867	3.03e-127
HLA-DRB1	ENSG00000196126.10	50.788	9.820	2.259	4.80e-63
MYT1	ENSG00000196132.11	12.580	2.700	1.876	1.16e-62
SERPINA3	ENSG00000196136.16	27.295	1.590	3.450	9.24e-41
ZNF250	ENSG00000196150.13	8.570	3.690	1.029	2.57e-99
ZNF681	ENSG00000196172.9	2.505	0.720	1.027	8.31e-76
ZNF766	ENSG00000196214.10	5.035	2.000	1.008	2.39e-112
ZNF107	ENSG00000196247.11	4.195	0.780	1.545	3.48e-144
GTF2IRD2	ENSG00000196275.13	12.550	5.590	1.040	1.71e-84
GRM7	ENSG00000196277.15	0.455	3.270	-1.553	4.79e-50
NLGN3	ENSG00000196338.12	64.576	22.000	1.512	3.50e-105
SRGAP2B	ENSG00000196369.10	22.425	6.370	1.668	1.39e-110
EPHB4	ENSG00000196411.9	5.905	2.180	1.119	9.24e-84
PRTN3	ENSG00000196415.9	0.060	2.310	-1.643	5.45e-166
SIAH1	ENSG00000196470.11	23.420	10.780	1.052	5.85e-115
IPO4	ENSG00000196497.15	10.855	3.990	1.248	4.98e-115
NCOR2	ENSG00000196498.13	92.011	43.510	1.063	1.80e-80
SULT1A1	ENSG00000196502.11	10.775	30.080	-1.400	5.04e-51
PRPF40A	ENSG00000196504.15	27.435	8.740	1.546	4.83e-128
SLC6A9	ENSG00000196517.11	30.705	4.980	2.407	4.37e-107
NACA	ENSG00000196531.10	1378.371	568.808	1.275	3.45e-140
SPTSSB	ENSG00000196542.8	2.000	7.140	-1.440	1.31e-33
SULF2	ENSG00000196562.14	160.657	22.950	2.755	6.28e-155
HDAC2	ENSG00000196591.11	52.499	21.540	1.247	8.28e-112
TCF4	ENSG00000196628.13	54.767	17.620	1.583	5.16e-101
SDHAF3	ENSG00000196636.7	15.170	6.950	1.024	1.61e-38
ZNF136	ENSG00000196646.11	5.305	1.880	1.130	7.42e-130
ZKSCAN5	ENSG00000196652.11	9.235	4.090	1.008	7.70e-136
ZNF502	ENSG00000196653.11	4.710	1.440	1.227	3.19e-163
TTC30B	ENSG00000196659.9	2.965	0.770	1.164	2.50e-137
TLR7	ENSG00000196664.4	1.990	0.150	1.379	1.85e-82
ERI2	ENSG00000196678.13	10.340	4.620	1.013	2.74e-87
ZNF431	ENSG00000196705.8	5.200	1.680	1.210	1.33e-107
NF1	ENSG00000196712.16	22.290	9.420	1.160	7.53e-77
HLA-DQA1	ENSG00000196735.11	8.250	0.710	2.435	2.69e-57
LINC01560	ENSG00000196741.5	3.690	1.080	1.173	1.63e-112
GM2A	ENSG00000196743.8	33.889	10.420	1.611	1.64e-166
S100A2	ENSG00000196754.10	3.710	1.000	1.236	6.13e-56
SNHG17	ENSG00000196756.11	24.915	11.350	1.069	1.91e-38
POU3F4	ENSG00000196767.6	9.145	1.280	2.154	1.99e-84
KIAA1211L	ENSG00000196872.10	3.795	30.080	-2.696	4.57e-102
SCN8A	ENSG00000196876.13	3.685	12.240	-1.499	8.11e-41
ZNF252P	ENSG00000196922.10	12.795	5.420	1.103	8.41e-94
FLNA	ENSG00000196924.14	119.580	55.950	1.082	4.19e-33
SRGAP1	ENSG00000196935.8	7.440	1.410	1.808	1.23e-179
NOP9	ENSG00000196943.12	17.115	7.890	1.027	7.96e-133
SMIM10L2B	ENSG00000196972.7	3.270	29.380	-2.831	6.07e-107
WDR5B	ENSG00000196981.3	4.960	0.850	1.688	5.69e-196
FAM163B	ENSG00000196990.8	10.909	66.990	-2.513	3.83e-52
METTL9	ENSG00000197006.13	93.034	42.060	1.127	2.03e-128
ZNF138	ENSG00000197008.9	9.585	4.270	1.006	3.67e-82
ZNF429	ENSG00000197013.9	18.565	6.800	1.327	4.14e-127
ZNF100	ENSG00000197020.10	4.575	0.940	1.523	6.01e-138
ZSCAN25	ENSG00000197037.10	6.705	2.220	1.259	1.10e-143
IGF2R	ENSG00000197081.12	12.175	3.870	1.436	2.79e-109
ZNF300P1	ENSG00000197083.11	3.150	0.630	1.348	2.13e-46
GAL3ST4	ENSG00000197093.10	16.570	2.800	2.209	1.35e-159
SLC6A17	ENSG00000197106.6	3.085	46.620	-3.543	3.11e-85
PCBP2	ENSG00000197111.15	478.109	197.183	1.274	1.51e-139
PGAP1	ENSG00000197121.14	8.775	2.800	1.363	9.21e-87
ZNF772	ENSG00000197128.11	5.225	1.890	1.107	1.26e-90
RP11-452G18.2	ENSG00000197149.5	3.555	0.580	1.528	2.29e-114
SND1	ENSG00000197157.10	75.352	30.990	1.255	4.40e-160
HIST1H4J	ENSG00000197238.4	8.915	1.170	2.192	8.30e-92
SERPINA1	ENSG00000197249.12	9.395	2.120	1.736	2.34e-40
RAMP2-AS1	ENSG00000197291.8	3.355	0.860	1.227	2.25e-74
LRP10	ENSG00000197324.8	42.445	10.920	1.866	2.56e-123
PELI1	ENSG00000197329.11	18.755	4.860	1.753	6.32e-144
VEPH1	ENSG00000197415.11	3.380	0.160	1.917	3.27e-63
OPALIN	ENSG00000197430.10	4.160	21.440	-2.121	6.91e-40
OGDHL	ENSG00000197444.9	4.215	39.901	-2.971	7.48e-102
HNRNPAB	ENSG00000197451.10	82.767	25.941	1.637	1.08e-182
MIB2	ENSG00000197530.12	27.400	62.491	-1.161	2.20e-65
TTC30A	ENSG00000197557.6	3.855	1.050	1.244	1.97e-138
RAB40C	ENSG00000197562.9	20.475	44.591	-1.086	3.59e-48
PIGN	ENSG00000197563.9	6.935	2.110	1.351	1.13e-119
ZNF624	ENSG00000197566.9	2.650	0.720	1.085	8.71e-142
TOPORS	ENSG00000197579.7	9.910	4.060	1.108	4.98e-117
MPEG1	ENSG00000197629.5	3.770	0.330	1.843	4.37e-119
NMB	ENSG00000197696.9	126.873	3.820	4.729	1.32e-166
PHF2	ENSG00000197724.10	28.159	12.050	1.160	5.32e-136
PSAP	ENSG00000197746.13	1339.658	621.710	1.106	1.01e-88
S100A10	ENSG00000197747.8	116.198	16.710	2.726	5.33e-87
RPL37A	ENSG00000197756.9	3038.407	1469.387	1.048	1.30e-70
TXNRD3	ENSG00000197763.12	4.825	1.660	1.131	4.72e-146
MCMBP	ENSG00000197771.12	21.235	6.120	1.643	4.08e-184
HIST1H2BK	ENSG00000197903.7	13.785	5.290	1.233	3.76e-57
HES5	ENSG00000197921.5	8.075	2.490	1.379	1.23e-27
ZNF677	ENSG00000197928.10	17.055	3.580	1.979	5.84e-155
ZNF311	ENSG00000197935.6	1.660	0.250	1.090	3.87e-87
FCHSD1	ENSG00000197948.10	2.810	7.130	-1.093	2.45e-48
S100A6	ENSG00000197956.9	303.067	139.933	1.109	2.42e-48
RPL12	ENSG00000197958.12	1047.292	341.844	1.612	5.68e-147
MPZL1	ENSG00000197965.11	56.596	12.470	2.096	1.99e-175
MBP	ENSG00000197971.14	959.141	2307.795	-1.266	4.07e-24
IRAK4	ENSG00000198001.13	5.180	1.950	1.067	2.19e-95
MRPL42	ENSG00000198015.12	22.911	6.750	1.625	2.20e-143
FCGR1B	ENSG00000198019.12	11.460	1.530	2.300	1.94e-88
RPS4X	ENSG00000198034.10	772.745	258.173	1.578	5.76e-138
ZNF84	ENSG00000198040.10	19.560	8.680	1.087	2.66e-107
PRIM1	ENSG00000198056.13	6.625	2.240	1.235	1.85e-118
MAR5	ENSG00000198060.9	22.405	9.190	1.200	1.08e-95
RP11-347C12.1	ENSG00000198064.13	1.810	4.810	-1.048	2.24e-64
SULT1C4	ENSG00000198075.9	27.334	4.750	2.301	3.27e-104
SFI1	ENSG00000198089.14	10.400	22.050	-1.016	2.14e-48
ZNF649	ENSG00000198093.10	8.480	1.750	1.785	1.07e-146
SOWAHC	ENSG00000198142.4	4.285	0.800	1.554	1.25e-148
ZNF770	ENSG00000198146.4	13.210	4.490	1.372	8.12e-60
HMGN5	ENSG00000198157.10	38.025	11.030	1.698	2.03e-136
TFDP1	ENSG00000198176.12	43.510	17.040	1.303	2.28e-136
HSD17B11	ENSG00000198189.10	28.824	12.070	1.190	7.31e-97
RPS6KL1	ENSG00000198208.11	17.155	35.651	-1.013	1.54e-34
RPL23A	ENSG00000198242.13	908.724	408.728	1.151	1.37e-96
ZKSCAN8	ENSG00000198315.10	10.910	2.950	1.592	4.96e-133
FAM109A	ENSG00000198324.13	11.090	3.470	1.435	1.07e-152
TXNRD1	ENSG00000198431.15	33.460	11.650	1.446	1.07e-109
NRARP	ENSG00000198435.3	9.535	3.960	1.087	2.81e-49
ZNF480	ENSG00000198464.13	4.420	1.250	1.268	1.78e-131
TMA16	ENSG00000198498.9	10.540	3.520	1.352	3.61e-142
HLA-DRB5	ENSG00000198502.5	12.705	1.310	2.569	5.81e-45
MAFK	ENSG00000198517.9	8.840	22.511	-1.257	3.23e-88
ZNF43	ENSG00000198521.11	7.755	1.770	1.660	1.83e-150
ZNF28	ENSG00000198538.10	4.650	1.490	1.182	3.47e-93
ZNF627	ENSG00000198551.9	11.680	3.000	1.665	6.07e-173
MMP17	ENSG00000198598.6	10.915	54.420	-2.218	2.14e-78
PPIAP22	ENSG00000198618.5	196.808	56.798	1.775	7.00e-188
RYR2	ENSG00000198626.15	0.840	14.270	-3.053	1.47e-92
KLHL9	ENSG00000198642.6	12.555	4.840	1.215	1.45e-84
FAM19A2	ENSG00000198673.10	4.260	14.070	-1.519	1.74e-38
MT-CO2	ENSG00000198712.1	17881.125	50388.258	-1.495	5.91e-75
MT-CYB	ENSG00000198727.2	7694.169	19454.279	-1.338	4.40e-59
PPP1R14C	ENSG00000198729.4	4.360	10.330	-1.080	7.75e-29
SMOC1	ENSG00000198732.10	257.887	10.510	4.491	3.43e-142
F5	ENSG00000198734.10	2.780	0.390	1.443	3.37e-41
MSRB1	ENSG00000198736.11	27.005	11.090	1.212	2.67e-164
RPL10A	ENSG00000198755.10	711.711	343.555	1.049	9.20e-96
MT-ND2	ENSG00000198763.3	8725.063	30998.267	-1.829	3.21e-94
RCSD1	ENSG00000198771.10	7.185	2.250	1.332	7.88e-97
FAM169A	ENSG00000198780.11	9.045	3.230	1.248	1.12e-43
ZNF521	ENSG00000198795.10	15.130	4.700	1.501	1.37e-82
MT-CO1	ENSG00000198804.2	21722.461	48500.096	-1.159	1.94e-46
PNP	ENSG00000198805.11	25.895	8.690	1.473	4.70e-71
GRM3	ENSG00000198822.10	6.530	20.460	-1.511	1.31e-34
INPP5F	ENSG00000198825.11	15.000	46.659	-1.575	1.18e-50
HMGN2	ENSG00000198830.10	328.704	126.211	1.374	6.31e-106
SELM	ENSG00000198832.10	31.030	110.147	-1.795	5.35e-73
UBE2J1	ENSG00000198833.6	22.400	8.020	1.375	2.63e-163
RYR3	ENSG00000198838.11	0.930	8.680	-2.326	1.20e-95
ZNF277	ENSG00000198839.9	14.520	6.730	1.006	2.34e-122
SELT	ENSG00000198843.12	88.159	34.649	1.323	2.13e-95
FICD	ENSG00000198855.6	7.605	2.710	1.214	9.74e-142
OSTC	ENSG00000198856.12	33.496	13.490	1.251	1.54e-135
TSEN15	ENSG00000198860.11	28.160	12.970	1.062	2.89e-119
TYW1	ENSG00000198874.12	10.105	4.550	1.001	8.88e-125
SFMBT2	ENSG00000198879.11	6.140	2.540	1.012	4.66e-78
PNMA5	ENSG00000198883.11	0.500	5.400	-2.093	1.24e-88
MT-ND4	ENSG00000198886.2	14606.773	33336.152	-1.190	2.03e-48
SMC5	ENSG00000198887.8	7.895	3.300	1.049	4.61e-67
MT-ND1	ENSG00000198888.2	7513.138	28285.988	-1.912	2.69e-96
MT-ATP6	ENSG00000198899.2	17127.179	48075.024	-1.489	1.71e-68
TOP1	ENSG00000198900.5	36.854	14.400	1.298	3.19e-120
L1CAM	ENSG00000198910.12	16.260	51.189	-1.596	3.74e-21
POU3F3	ENSG00000198914.2	35.564	14.900	1.201	9.22e-116
RASGEF1A	ENSG00000198915.11	2.740	16.640	-2.238	9.64e-83
RPL39	ENSG00000198918.7	1737.261	468.205	1.889	6.09e-148
NOS1AP	ENSG00000198929.12	4.590	11.650	-1.178	4.71e-35
GPRASP1	ENSG00000198932.12	7.575	37.041	-2.149	1.29e-73
MAGEE1	ENSG00000198934.4	7.440	18.539	-1.211	3.86e-29
MT-CO3	ENSG00000198938.2	16746.244	40715.767	-1.282	3.10e-59
SOWAHA	ENSG00000198944.5	2.685	35.041	-3.290	6.16e-126
NAGA	ENSG00000198951.11	13.980	3.530	1.725	2.84e-151
RORB	ENSG00000198963.10	2.045	7.270	-1.441	2.21e-48
SNORA63	ENSG00000200320.1	0.000	6.120	-2.832	4.49e-13
RNU4-1	ENSG00000200795.1	4.460	0.000	2.449	2.01e-20
RNU4-2	ENSG00000202538.1	35.330	8.860	1.881	3.41e-19
INF2	ENSG00000203485.12	29.645	60.732	-1.010	1.08e-35
PDCD4-AS1	ENSG00000203497.2	3.440	0.510	1.556	1.41e-167
GP1BB	ENSG00000203618.5	3.010	24.150	-2.649	1.04e-25
RP11-332M2.1	ENSG00000203644.3	3.950	1.360	1.069	8.41e-98
FCGR3A	ENSG00000203747.9	22.105	3.090	2.498	5.10e-68
SPRN	ENSG00000203772.7	5.655	17.820	-1.500	3.19e-43
PPAPDC1A	ENSG00000203805.10	27.615	4.160	2.471	3.00e-125
SNHG5	ENSG00000203875.10	169.576	42.159	1.983	1.13e-125
PCMTD2	ENSG00000203880.11	45.720	18.520	1.259	1.07e-87
LIME1	ENSG00000203896.9	6.730	16.600	-1.187	2.45e-54
LINC00632	ENSG00000203930.10	4.840	14.990	-1.453	7.87e-71
LRRC73	ENSG00000204052.4	1.940	8.910	-1.753	2.58e-79
SYS1	ENSG00000204070.9	25.700	8.750	1.453	4.76e-182
TCEAL6	ENSG00000204071.9	5.915	63.990	-3.232	6.84e-93
LINC00951	ENSG00000204092.2	0.360	4.760	-2.082	1.47e-179
NEU4	ENSG00000204099.11	45.545	7.700	2.420	6.44e-84
MAFB	ENSG00000204103.3	19.600	4.080	2.020	4.58e-120
GIGYF2	ENSG00000204120.14	24.650	10.820	1.118	4.20e-104
GGTA1P	ENSG00000204136.10	40.429	7.530	2.280	1.98e-98
PHACTR4	ENSG00000204138.12	12.735	5.270	1.131	6.77e-89
PTPN20	ENSG00000204179.10	0.395	2.960	-1.505	1.87e-75
HSD17B8	ENSG00000204228.3	14.690	6.110	1.142	4.87e-98
HLA-DOA	ENSG00000204252.12	4.445	0.490	1.870	1.58e-68
HNRNPCP2	ENSG00000204253.4	18.610	0.850	3.406	0.00e+0
HLA-DMA	ENSG00000204257.14	32.725	5.990	2.270	4.15e-95
PSMB8-AS1	ENSG00000204261.8	11.310	2.920	1.651	3.26e-88
PSMB8	ENSG00000204264.8	43.920	9.820	2.054	8.37e-124
TAP2	ENSG00000204267.13	18.885	7.520	1.223	1.59e-76
HLA-DRA	ENSG00000204287.13	161.898	13.660	3.474	2.13e-102
RNF5	ENSG00000204308.7	91.382	40.791	1.144	6.22e-162
PRRT1	ENSG00000204314.10	26.345	104.148	-1.943	4.35e-85
NELFE	ENSG00000204356.11	104.480	38.030	1.434	1.55e-189
ZBTB12	ENSG00000204366.3	11.180	2.360	1.858	9.99e-170
SDHD	ENSG00000204370.8	77.565	37.250	1.038	6.94e-106
LSM2	ENSG00000204392.10	67.836	21.651	1.604	1.50e-188
VARS	ENSG00000204394.12	48.890	18.970	1.321	1.99e-134
VWA7	ENSG00000204396.10	0.600	7.990	-2.490	3.21e-121
GPANK1	ENSG00000204438.10	25.570	9.550	1.333	3.11e-186
LST1	ENSG00000204482.10	35.220	3.610	2.974	4.88e-166
NFKBIL1	ENSG00000204498.10	33.871	15.600	1.071	8.93e-116
HLA-C	ENSG00000204525.14	254.336	72.248	1.802	4.08e-81
MRPS18B	ENSG00000204568.11	55.641	26.431	1.046	1.96e-153
PPP1R10	ENSG00000204569.9	36.975	15.080	1.240	1.60e-144
LINC01123	ENSG00000204588.5	0.690	20.510	-3.670	1.01e-126
HLA-E	ENSG00000204592.8	200.380	68.478	1.535	1.90e-80
TRIM39	ENSG00000204599.14	10.330	4.480	1.048	7.59e-155
PTCHD2	ENSG00000204624.7	13.210	4.450	1.383	1.67e-61
GNB2L1	ENSG00000204628.11	1296.493	291.044	2.151	5.64e-189
FAM153C	ENSG00000204677.10	0.305	31.831	-4.653	8.38e-262
ZNF204P	ENSG00000204789.4	2.560	25.690	-2.906	5.00e-123
RP11-111F5.4	ENSG00000204802.3	2.850	0.710	1.171	4.46e-70
RP11-475I24.1	ENSG00000204816.5	1.115	0.010	1.066	5.46e-6
PNMAL2	ENSG00000204851.6	8.325	42.109	-2.209	4.62e-77
IGFL4	ENSG00000204869.8	1.620	6.020	-1.422	4.53e-80
LRRC10B	ENSG00000204950.3	1.820	6.210	-1.354	4.53e-45
TRIM13	ENSG00000204977.9	15.650	7.240	1.015	3.60e-119
SPIRE2	ENSG00000204991.10	9.185	19.660	-1.020	2.14e-36
RP11-707M1.1	ENSG00000205035.8	0.535	2.720	-1.277	3.11e-64
RP11-863P13.4	ENSG00000205037.2	0.150	2.270	-1.508	7.96e-88
TMEM231	ENSG00000205084.10	20.350	9.090	1.081	2.45e-92
TMEM240	ENSG00000205090.8	13.670	36.770	-1.364	1.68e-55
TMEM88B	ENSG00000205116.3	1.060	3.860	-1.238	5.94e-30
PSENEN	ENSG00000205155.7	95.431	36.829	1.350	6.90e-110
ZBTB10	ENSG00000205189.11	7.540	1.940	1.538	2.52e-160
MUC12	ENSG00000205277.9	1.245	6.000	-1.641	1.36e-59
SNX2	ENSG00000205302.6	42.871	17.930	1.213	3.51e-137
IPO7	ENSG00000205339.9	44.665	16.440	1.389	6.66e-101
MT1H	ENSG00000205358.3	0.730	4.860	-1.760	2.93e-41
MT1A	ENSG00000205362.10	1.020	3.870	-1.270	1.23e-32
MT1M	ENSG00000205364.3	12.160	42.101	-1.712	9.68e-43
SAMD9	ENSG00000205413.7	1.780	0.240	1.165	9.66e-78
TMEM256	ENSG00000205544.3	92.196	38.419	1.241	3.25e-137
RP11-497E19.1	ENSG00000205562.2	0.125	1.800	-1.316	1.86e-106
HMGN1	ENSG00000205581.10	127.229	50.579	1.314	8.84e-129
ITPRIPL2	ENSG00000205730.6	3.350	0.810	1.265	7.17e-102
KLRC2	ENSG00000205809.9	33.330	1.400	3.838	2.08e-77
KLRC3	ENSG00000205810.8	5.670	0.710	1.964	7.80e-81
OLIG2	ENSG00000205927.4	219.807	15.760	3.720	2.97e-175
RP11-689P11.2	ENSG00000205959.3	0.605	2.620	-1.173	2.04e-96
HN1L	ENSG00000206053.12	11.215	3.610	1.406	9.23e-94
ZDHHC11B	ENSG00000206077.10	9.270	23.980	-1.282	4.28e-59
TMEM191C	ENSG00000206140.9	1.015	7.860	-2.137	4.44e-201
P2RX6P	ENSG00000206145.8	1.690	8.010	-1.744	9.22e-106
HNRNPA1P4	ENSG00000206228.4	1.030	0.000	1.021	5.70e-159
HLA-H	ENSG00000206341.7	16.230	2.130	2.461	1.64e-119
HLA-A	ENSG00000206503.11	365.543	79.132	2.194	4.70e-132
SNORA70	ENSG00000207165.1	4.600	0.000	2.485	1.54e-6
MT-RNR2	ENSG00000210082.2	13789.188	33514.550	-1.281	8.29e-64
STK38L	ENSG00000211455.7	15.975	5.690	1.343	6.07e-82
MT-RNR1	ENSG00000211459.2	4853.130	14046.274	-1.533	6.49e-77
TSN	ENSG00000211460.11	48.995	20.740	1.201	7.66e-147
TRBC2	ENSG00000211772.8	2.480	8.340	-1.424	1.80e-35
FAM127C	ENSG00000212747.4	13.375	5.150	1.225	9.07e-170
RPL15P3	ENSG00000212802.4	15.225	3.060	1.999	3.58e-159
RNF208	ENSG00000212864.3	31.000	101.750	-1.683	5.46e-93
MT-ND4L	ENSG00000212907.2	9511.781	20525.076	-1.110	9.82e-38
SYT3	ENSG00000213023.9	6.475	20.040	-1.493	6.80e-56
NUP62	ENSG00000213024.10	25.286	11.500	1.072	2.96e-106
SFT2D2	ENSG00000213064.9	8.250	1.630	1.814	2.21e-165
ZNF254	ENSG00000213096.9	8.280	3.580	1.019	2.38e-83
YWHAZP4	ENSG00000213131.3	1.805	0.170	1.261	4.87e-134
KLHL23	ENSG00000213160.9	15.920	5.570	1.365	4.49e-87
RP11-641D5.1	ENSG00000213178.3	191.187	28.430	2.707	4.99e-231
YWHAZP5	ENSG00000213260.3	2.310	0.240	1.416	1.19e-89
RP11-212P7.1	ENSG00000213280.2	1.020	0.000	1.014	3.28e-116
NRAS	ENSG00000213281.4	15.975	5.500	1.385	8.45e-133
ZNF625-ZNF20	ENSG00000213297.8	2.210	0.540	1.060	4.43e-141
HNRNPA3P6	ENSG00000213300.5	4.815	0.930	1.591	3.34e-145
LTC4S	ENSG00000213316.9	7.000	2.080	1.377	1.79e-58
RPS7P11	ENSG00000213326.4	2.135	0.510	1.054	3.38e-86
LCAT	ENSG00000213398.7	49.629	10.370	2.155	1.87e-134
GPC2	ENSG00000213420.7	10.455	1.030	2.496	9.11e-158
KRT222	ENSG00000213424.8	1.030	13.780	-2.864	1.56e-90
RPL18AP3	ENSG00000213442.5	52.855	14.640	1.784	1.21e-133
SIPA1	ENSG00000213445.8	23.190	8.640	1.327	7.08e-69
RPLP0P6	ENSG00000213553.4	21.595	1.840	2.992	1.04e-233
ZBTB9	ENSG00000213588.5	7.010	2.280	1.288	1.42e-179
SLX1A-SULT1A3	ENSG00000213599.9	5.520	13.440	-1.147	6.47e-53
HEXA	ENSG00000213614.9	55.084	24.160	1.156	4.27e-128
LEPROT	ENSG00000213625.8	24.501	9.330	1.304	2.83e-117
PPP1CB	ENSG00000213639.9	94.542	38.961	1.258	1.91e-112
GPSM3	ENSG00000213654.9	16.511	3.340	2.012	2.07e-108
S1PR3	ENSG00000213694.3	7.300	2.020	1.459	6.08e-48
SLC35F6	ENSG00000213699.8	18.445	8.260	1.070	1.33e-147
RPS29	ENSG00000213741.8	2278.706	831.688	1.453	6.70e-110
KLRK1	ENSG00000213809.8	4.030	0.730	1.540	6.85e-62
KCTD11	ENSG00000213859.4	11.460	1.860	2.123	2.00e-252
YBX1P10	ENSG00000213866.3	2.090	0.220	1.341	3.45e-138
UBD	ENSG00000213886.3	2.080	0.090	1.499	9.25e-64
RP11-314A20.1	ENSG00000213939.4	1.740	0.210	1.179	1.75e-115
TAX1BP3	ENSG00000213977.7	48.855	20.269	1.229	1.36e-104
GANC	ENSG00000214013.9	10.425	4.380	1.086	1.22e-99
REPIN1	ENSG00000214022.11	93.208	44.111	1.062	1.28e-95
FBXO16	ENSG00000214050.7	2.770	8.380	-1.315	5.39e-78
PTMAP5	ENSG00000214182.5	4.750	1.070	1.474	2.23e-91
SH3D21	ENSG00000214193.9	1.100	4.550	-1.402	1.59e-99
LINC00998	ENSG00000214194.8	54.285	17.259	1.598	3.93e-171
HNRNPA1P10	ENSG00000214223.4	6.875	1.020	1.963	7.31e-158
SOGA3	ENSG00000214338.10	3.065	0.060	1.939	2.22e-86
VSTM5	ENSG00000214376.5	0.510	3.140	-1.455	4.09e-89
RPS3AP26	ENSG00000214389.2	9.935	2.060	1.837	9.81e-121
LCNL1	ENSG00000214402.6	4.340	17.410	-1.786	2.08e-51
PLIN5	ENSG00000214456.8	0.970	5.240	-1.663	1.76e-85
RPL7P1	ENSG00000214485.6	42.470	5.240	2.800	5.05e-184
MEG3	ENSG00000214548.14	42.750	683.500	-3.968	9.06e-151
HMGN2P15	ENSG00000214578.5	6.775	1.840	1.453	1.02e-74
